

=== Predictions on test data ===

 inst#     actual  predicted error prediction
     1        1:? 2:atempora       0.591 
     2        1:? 1:temporal       0.745 
     3        1:? 1:temporal       0.58 
     4        1:? 2:atempora       0.538 
     5        1:? 2:atempora       0.671 
     6        1:? 2:atempora       0.591 
     7        1:? 2:atempora       0.638 
     8        1:? 1:temporal       0.513 
     9        1:? 2:atempora       0.629 
    10        1:? 1:temporal       0.54 
    11        1:? 1:temporal       0.632 
    12        1:? 2:atempora       0.786 
    13        1:? 2:atempora       0.555 
    14        1:? 2:atempora       0.509 
    15        1:? 1:temporal       0.545 
    16        1:? 1:temporal       0.614 
    17        1:? 2:atempora       0.911 
    18        1:? 2:atempora       0.558 
    19        1:? 2:atempora       0.717 
    20        1:? 1:temporal       0.547 
    21        1:? 2:atempora       0.81 
    22        1:? 2:atempora       0.805 
    23        1:? 1:temporal       0.514 
    24        1:? 1:temporal       0.672 
    25        1:? 2:atempora       0.588 
    26        1:? 2:atempora       0.848 
    27        1:? 1:temporal       0.695 
    28        1:? 1:temporal       0.547 
    29        1:? 2:atempora       0.544 
    30        1:? 2:atempora       0.549 
    31        1:? 1:temporal       0.711 
    32        1:? 2:atempora       0.782 
    33        1:? 1:temporal       0.583 
    34        1:? 1:temporal       0.681 
    35        1:? 1:temporal       0.542 
    36        1:? 2:atempora       0.538 
    37        1:? 1:temporal       0.539 
    38        1:? 2:atempora       0.621 
    39        1:? 1:temporal       0.814 
    40        1:? 2:atempora       0.69 
    41        1:? 2:atempora       0.704 
    42        1:? 1:temporal       0.556 
    43        1:? 1:temporal       0.674 
    44        1:? 1:temporal       0.556 
    45        1:? 1:temporal       0.634 
    46        1:? 2:atempora       0.771 
    47        1:? 2:atempora       0.667 
    48        1:? 2:atempora       0.527 
    49        1:? 2:atempora       0.713 
    50        1:? 1:temporal       0.607 
    51        1:? 2:atempora       0.678 
    52        1:? 1:temporal       0.539 
    53        1:? 1:temporal       0.547 
    54        1:? 1:temporal       0.831 
    55        1:? 1:temporal       0.572 
    56        1:? 2:atempora       0.787 
    57        1:? 2:atempora       0.711 
