INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
12012	0.909	atemporal	1time1
3359	0.923	atemporal	1time1
11425	0.952	atemporal	1time1
236	0.906	atemporal	1time1
9717	0.276	past	1time1
9639	0.251	future	1time1
10525	0.973	atemporal	1time1
13765	0.289	neutral	1time1
8075	0.921	atemporal	1time1
8015	0.934	atemporal	1time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
7347	0.869	atemporal	2time1
14397	0.279	neutral	2time1
3398	0.882	atemporal	2time1
2047	0.942	atemporal	2time1
8333	0.836	atemporal	2time1
9273	0.836	atemporal	2time1
5137	0.267	past	2time1
14610	0.88	atemporal	2time1
4064	0.844	atemporal	2time1
8601	0.868	atemporal	2time1
7262	0.348	present	2time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
5472	0.865	atemporal	3time1
5965	0.812	atemporal	3time1
612	0.954	atemporal	3time1
12183	0.213	past	3time1
3914	0.943	atemporal	3time1
12492	0.874	atemporal	3time1
12755	0.291	neutral	3time1
2317	0.292	neutral	3time1
5373	0.798	atemporal	3time1
2884	0.305	future	3time1
5809	0.855	atemporal	3time1
8406	0.816	atemporal	3time1
5861	0.86	atemporal	3time1
7634	0.224	past	3time1
12485	0.267	present	3time1
6583	0.915	atemporal	3time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
6830	0.342	neutral	4time1
928	0.857	atemporal	4time1
12641	0.264	present	4time1
2164	0.859	atemporal	4time1
8273	0.888	atemporal	4time1
11780	0.341	neutral	4time1
5840	0.317	future	4time1
1951	0.852	atemporal	4time1
4750	0.87	atemporal	4time1
89	0.85	atemporal	4time1
5314	0.848	atemporal	4time1
10910	0.899	atemporal	4time1
14680	0.865	atemporal	4time1
9589	0.95	atemporal	4time1
6280	0.328	future	4time1
566	0.892	atemporal	4time1
7452	0.245	present	4time1
13559	0.857	atemporal	4time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
3528	0.318	future	5time1
14030	0.922	atemporal	5time1
4434	0.909	atemporal	5time1
2140	0.293	neutral	5time1
3797	0.903	atemporal	5time1
10848	0.941	atemporal	5time1
3846	0.913	atemporal	5time1
13231	0.92	atemporal	5time1
14043	0.282	present	5time1
14653	0.901	atemporal	5time1
7893	0.902	atemporal	5time1
487	0.904	atemporal	5time1
6586	0.935	atemporal	5time1
516	0.278	past	5time1
11096	0.936	atemporal	5time1
10587	0.903	atemporal	5time1
12459	0.288	neutral	5time1
7021	0.284	present	5time1
14497	0.315	future	5time1
5520	0.278	past	5time1
6185	0.95	atemporal	5time1
8528	0.928	atemporal	5time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
14041	0.922	atemporal	6time1
5653	0.923	atemporal	6time1
9851	0.332	past	6time1
5179	0.901	atemporal	6time1
2589	0.942	atemporal	6time1
9479	0.924	atemporal	6time1
14866	0.887	atemporal	6time1
9502	0.894	atemporal	6time1
12424	0.939	atemporal	6time1
181	0.322	future	6time1
874	0.316	present	6time1
8546	0.33	neutral	6time1
4078	0.917	atemporal	6time1
5347	0.894	atemporal	6time1
12952	0.894	atemporal	6time1
2914	0.321	past	6time1
2421	0.952	atemporal	6time1
5589	0.305	present	6time1
8058	0.93	atemporal	6time1
9345	0.329	neutral	6time1
6657	0.329	neutral	6time1
4770	0.928	atemporal	6time1
7895	0.919	atemporal	6time1
12412	0.896	atemporal	6time1
14006	0.89	atemporal	6time1
12833	0.317	future	6time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
10127	0.294	future	7time1
1185	0.93	atemporal	7time1
3453	0.924	atemporal	7time1
3287	0.925	atemporal	7time1
14994	0.916	atemporal	7time1
14417	0.326	neutral	7time1
11702	0.949	atemporal	7time1
14319	0.92	atemporal	7time1
2561	0.314	present	7time1
1781	0.949	atemporal	7time1
6685	0.319	present	7time1
3777	0.963	atemporal	7time1
13543	0.914	atemporal	7time1
7022	0.297	future	7time1
9513	0.965	atemporal	7time1
1129	0.301	past	7time1
7096	0.921	atemporal	7time1
3271	0.924	atemporal	7time1
9159	0.912	atemporal	7time1
5505	0.923	atemporal	7time1
6515	0.327	neutral	7time1
5360	0.308	past	7time1
1472	0.944	atemporal	7time1
5639	0.914	atemporal	7time1
5303	0.936	atemporal	7time1
14790	0.314	present	7time1
6680	0.923	atemporal	7time1
2882	0.932	atemporal	7time1
5917	0.3	future	7time1
6549	0.959	atemporal	7time1
598	0.3	past	7time1
8394	0.952	atemporal	7time1
3077	0.327	neutral	7time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
5025	0.924	atemporal	8time1
6859	0.961	atemporal	8time1
5811	0.337	neutral	8time1
11957	0.336	present	8time1
9733	0.938	atemporal	8time1
8357	0.938	atemporal	8time1
2112	0.337	present	8time1
13030	0.334	neutral	8time1
213	0.932	atemporal	8time1
8835	0.925	atemporal	8time1
14582	0.959	atemporal	8time1
6067	0.344	neutral	8time1
11424	0.924	atemporal	8time1
4635	0.952	atemporal	8time1
6025	0.929	atemporal	8time1
12171	0.942	atemporal	8time1
8621	0.305	past	8time1
10999	0.303	past	8time1
7096	0.32	future	8time1
7412	0.942	atemporal	8time1
2195	0.333	present	8time1
9263	0.938	atemporal	8time1
10555	0.959	atemporal	8time1
954	0.93	atemporal	8time1
10947	0.923	atemporal	8time1
14661	0.932	atemporal	8time1
6998	0.304	past	8time1
10900	0.936	atemporal	8time1
14530	0.32	future	8time1
10998	0.948	atemporal	8time1
6463	0.939	atemporal	8time1
14639	0.321	future	8time1
11324	0.926	atemporal	8time1
12527	0.924	atemporal	8time1
12047	0.924	atemporal	8time1
10362	0.958	atemporal	8time1
6528	0.927	atemporal	8time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
9519	0.315	future	9time1
