INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
7210	0.999	atemporal	1time1
13504	0.996	atemporal	1time1
5223	0.979	temporal	1time1
9639	0.984	temporal	1time1
10428	0.999	atemporal	1time1
10721	0.998	atemporal	1time1
9401	0.996	atemporal	1time1
4563	0.996	atemporal	1time1
1172	0.997	atemporal	1time1
8815	0.991	temporal	1time1
10525	0.999	atemporal	1time1
7554	1.0	atemporal	1time1
13765	0.997	atemporal	1time1
2848	0.999	atemporal	1time1
1760	0.987	temporal	1time1
6378	0.981	temporal	1time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
5666	0.905	atemporal	2time1
13485	0.742	temporal	2time1
357	0.923	atemporal	2time1
4812	0.901	atemporal	2time1
2546	0.683	temporal	2time1
14754	0.899	atemporal	2time1
9076	0.923	atemporal	2time1
10818	0.683	temporal	2time1
9037	0.717	temporal	2time1
13279	0.714	temporal	2time1
4013	0.91	atemporal	2time1
11448	0.886	atemporal	2time1
4526	0.894	atemporal	2time1
14254	0.907	atemporal	2time1
895	0.893	atemporal	2time1
441	0.849	temporal	2time1
5115	0.89	atemporal	2time1
4659	0.889	atemporal	2time1
8601	0.89	atemporal	2time1
14173	0.892	atemporal	2time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
4041	0.926	temporal	3time1
4586	0.967	atemporal	3time1
869	0.951	temporal	3time1
5689	0.951	atemporal	3time1
2464	0.954	atemporal	3time1
12492	0.949	atemporal	3time1
14017	0.947	atemporal	3time1
12950	0.976	atemporal	3time1
1180	0.954	atemporal	3time1
11206	0.956	temporal	3time1
2820	0.957	atemporal	3time1
612	0.955	atemporal	3time1
2160	0.947	atemporal	3time1
12408	0.959	atemporal	3time1
6583	0.987	atemporal	3time1
8062	0.923	temporal	3time1
10115	0.955	atemporal	3time1
14564	0.972	temporal	3time1
5940	0.927	temporal	3time1
5194	0.956	atemporal	3time1
4204	0.97	atemporal	3time1
1139	0.962	atemporal	3time1
613	0.939	temporal	3time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
5610	0.903	temporal	4time1
9585	0.966	atemporal	4time1
12683	0.935	atemporal	4time1
5491	0.958	atemporal	4time1
6902	0.913	temporal	4time1
9632	0.943	atemporal	4time1
6431	0.934	atemporal	4time1
1646	0.949	atemporal	4time1
3324	0.939	atemporal	4time1
11994	0.939	atemporal	4time1
8145	0.955	temporal	4time1
10907	0.882	temporal	4time1
11961	0.937	atemporal	4time1
5886	0.938	atemporal	4time1
8589	0.948	atemporal	4time1
6787	0.894	temporal	4time1
7348	0.94	atemporal	4time1
175	0.933	atemporal	4time1
10989	0.937	atemporal	4time1
4063	0.925	temporal	4time1
9689	0.942	atemporal	4time1
10631	0.892	temporal	4time1
13559	0.951	atemporal	4time1
6830	0.941	atemporal	4time1
6655	0.934	atemporal	4time1
9766	0.912	temporal	4time1
7734	0.937	atemporal	4time1
6344	0.937	atemporal	4time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
7628	0.98	atemporal	5time1
11575	0.961	temporal	5time1
6474	0.985	temporal	5time1
2921	0.965	atemporal	5time1
778	0.958	temporal	5time1
3128	0.967	atemporal	5time1
341	0.965	atemporal	5time1
6789	0.966	atemporal	5time1
13138	0.952	temporal	5time1
10385	0.981	atemporal	5time1
1115	0.99	temporal	5time1
13386	0.961	temporal	5time1
6185	0.967	atemporal	5time1
4491	0.979	atemporal	5time1
797	0.952	temporal	5time1
6150	0.963	atemporal	5time1
5449	0.973	atemporal	5time1
14796	0.963	atemporal	5time1
14613	0.972	atemporal	5time1
8566	0.992	atemporal	5time1
13673	0.964	atemporal	5time1
13456	0.978	atemporal	5time1
9510	0.962	atemporal	5time1
3889	0.964	atemporal	5time1
2815	0.97	atemporal	5time1
14405	0.981	atemporal	5time1
12054	0.951	temporal	5time1
6274	0.965	atemporal	5time1
9883	0.966	atemporal	5time1
132	0.975	atemporal	5time1
7499	0.996	atemporal	5time1
1761	0.972	atemporal	5time1
4447	0.956	temporal	5time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1054	0.973	atemporal	6time1
10216	0.971	atemporal	6time1
1317	0.979	atemporal	6time1
11586	0.978	atemporal	6time1
6287	0.982	atemporal	6time1
13117	0.968	temporal	6time1
7534	0.991	atemporal	6time1
11624	0.977	atemporal	6time1
2680	0.974	temporal	6time1
14306	0.983	atemporal	6time1
2421	0.986	atemporal	6time1
13839	0.977	temporal	6time1
13156	0.971	temporal	6time1
8062	0.991	atemporal	6time1
5653	0.979	atemporal	6time1
8070	0.97	temporal	6time1
10989	0.971	atemporal	6time1
614	0.985	atemporal	6time1
85	0.973	temporal	6time1
4983	0.968	temporal	6time1
3328	0.968	temporal	6time1
4314	0.977	atemporal	6time1
7372	0.972	atemporal	6time1
14554	0.996	atemporal	6time1
13459	0.974	atemporal	6time1
5177	0.971	atemporal	6time1
11658	0.988	atemporal	6time1
6324	0.979	atemporal	6time1
10284	0.977	atemporal	6time1
882	0.972	atemporal	6time1
11234	0.982	temporal	6time1
6657	0.972	atemporal	6time1
7172	0.989	atemporal	6time1
12580	0.982	atemporal	6time1
12207	0.977	atemporal	6time1
13424	0.977	temporal	6time1
3574	0.969	atemporal	6time1
28	0.974	atemporal	6time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
3169	0.984	temporal	7time1
8705	0.977	temporal	7time1
3777	0.98	atemporal	7time1
8078	0.992	atemporal	7time1
7104	0.996	atemporal	7time1
7101	0.976	atemporal	7time1
7046	0.976	atemporal	7time1
9916	0.987	temporal	7time1
4249	0.977	atemporal	7time1
2105	0.981	atemporal	7time1
6521	0.983	atemporal	7time1
3831	0.996	atemporal	7time1
12003	0.977	temporal	7time1
14577	0.99	atemporal	7time1
9355	0.98	atemporal	7time1
12441	0.978	atemporal	7time1
13253	0.997	atemporal	7time1
13792	0.979	atemporal	7time1
4410	0.976	temporal	7time1
7490	0.986	temporal	7time1
9490	0.987	atemporal	7time1
7076	0.988	temporal	7time1
9431	0.978	atemporal	7time1
14276	0.985	atemporal	7time1
10935	0.996	atemporal	7time1
1781	0.979	atemporal	7time1
11418	0.998	atemporal	7time1
8834	0.979	temporal	7time1
1071	0.983	atemporal	7time1
7464	0.985	atemporal	7time1
13126	0.978	atemporal	7time1
1656	0.988	atemporal	7time1
8836	0.974	atemporal	7time1
11857	0.998	atemporal	7time1
3962	0.977	temporal	7time1
