

=== Predictions on test data ===

 inst#     actual  predicted error prediction
     1        1:? 2:atempora       1 
     2        1:? 2:atempora       0.943 
     3        1:? 1:temporal       0.54 
     4        1:? 2:atempora       0.994 
     5        1:? 2:atempora       1 
     6        1:? 2:atempora       1 
     7        1:? 1:temporal       0.652 
     8        1:? 1:temporal       0.971 
     9        1:? 2:atempora       0.997 
    10        1:? 2:atempora       0.996 
    11        1:? 2:atempora       0.718 
    12        1:? 2:atempora       0.999 
    13        1:? 2:atempora       0.988 
    14        1:? 2:atempora       0.513 
    15        1:? 2:atempora       0.999 
    16        1:? 2:atempora       0.81 
    17        1:? 2:atempora       0.859 
    18        1:? 2:atempora       0.972 
    19        1:? 2:atempora       0.993 
    20        1:? 2:atempora       0.936 
    21        1:? 2:atempora       0.91 
    22        1:? 2:atempora       1 
    23        1:? 2:atempora       0.947 
    24        1:? 1:temporal       0.947 
    25        1:? 2:atempora       0.868 
    26        1:? 2:atempora       1 
    27        1:? 2:atempora       0.729 
    28        1:? 2:atempora       0.867 
    29        1:? 2:atempora       0.952 
    30        1:? 2:atempora       0.954 
    31        1:? 2:atempora       0.997 
    32        1:? 2:atempora       1 
    33        1:? 1:temporal       0.63 
    34        1:? 2:atempora       0.982 
    35        1:? 1:temporal       0.907 
    36        1:? 2:atempora       0.994 
    37        1:? 2:atempora       0.996 
    38        1:? 2:atempora       0.995 
    39        1:? 1:temporal       0.999 
    40        1:? 2:atempora       1 
    41        1:? 2:atempora       1 
    42        1:? 2:atempora       0.824 
    43        1:? 2:atempora       0.995 
    44        1:? 2:atempora       0.865 
    45        1:? 2:atempora       0.957 
    46        1:? 2:atempora       0.995 
    47        1:? 2:atempora       1 
    48        1:? 2:atempora       0.524 
    49        1:? 1:temporal       0.762 
    50        1:? 2:atempora       0.868 
    51        1:? 2:atempora       0.998 
    52        1:? 2:atempora       0.996 
    53        1:? 2:atempora       0.867 
    54        1:? 1:temporal       1 
    55        1:? 1:temporal       0.698 
    56        1:? 2:atempora       1 
    57        1:? 2:atempora       1 
    58        1:? 1:temporal       0.936 
    59        1:? 2:atempora       1 
    60        1:? 2:atempora       0.918 
    61        1:? 2:atempora       0.997 
    62        1:? 1:temporal       0.759 
    63        1:? 2:atempora       1 
    64        1:? 2:atempora       1 
    65        1:? 2:atempora       1 
    66        1:? 2:atempora       0.655 
    67        1:? 2:atempora       1 
    68        1:? 2:atempora       0.994 
    69        1:? 2:atempora       0.867 
    70        1:? 2:atempora       0.867 
    71        1:? 2:atempora       1 
    72        1:? 2:atempora       0.955 
    73        1:? 1:temporal       0.733 
    74        1:? 1:temporal       0.55 
    75        1:? 1:temporal       0.857 
    76        1:? 1:temporal       0.907 
    77        1:? 1:temporal       0.854 
    78        1:? 2:atempora       1 
