INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
244	0.352	future	1time1
998	0.698	neutral	1time1
1436	0.345	present	1time1
1854	0.689	neutral	1time1
343	0.301	past	1time1
107	0.745	neutral	1time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1388	0.706	neutral	2time1
349	0.335	future	2time1
1848	0.657	neutral	2time1
1128	0.356	present	2time1
1306	0.68	neutral	2time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1884	0.818	neutral	3time1
554	0.397	past	3time1
1300	0.801	neutral	3time1
1215	0.295	present	3time1
23	0.877	neutral	3time1
474	0.293	present	3time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
318	0.343	future	4time1
534	0.884	neutral	4time1
716	0.877	neutral	4time1
799	0.872	neutral	4time1
971	0.34	future	4time1
1320	0.368	past	4time1
97	0.419	present	4time1
868	0.9	neutral	4time1
1595	0.373	past	4time1
233	0.425	present	4time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1077	0.835	neutral	5time1
1249	0.372	present	5time1
1403	0.347	past	5time1
305	0.841	neutral	5time1
1626	0.35	future	5time1
873	0.834	neutral	5time1
973	0.389	present	5time1
1961	0.355	future	5time1
1071	0.345	past	5time1
881	0.832	neutral	5time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1338	0.393	present	6time1
1691	0.388	present	6time1
1853	0.38	present	6time1
1289	0.296	past	6time1
1015	0.31	past	6time1
382	0.943	neutral	6time1
436	0.386	future	6time1
818	0.403	future	6time1
524	0.898	neutral	6time1
896	0.887	neutral	6time1
910	0.91	neutral	6time1
504	0.898	neutral	6time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
49	0.864	neutral	7time1
884	0.465	present	7time1
60	0.885	neutral	7time1
161	0.339	past	7time1
1475	0.458	present	7time1
834	0.502	future	7time1
297	0.342	past	7time1
1333	0.906	neutral	7time1
430	0.485	future	7time1
997	0.881	neutral	7time1
687	0.35	past	7time1
1883	0.906	neutral	7time1
1211	0.885	neutral	7time1
1853	0.496	future	7time1
680	0.499	present	7time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
857	0.888	neutral	8time1
257	0.921	neutral	8time1
247	0.368	future	8time1
1602	0.432	present	8time1
1355	0.412	present	8time1
1744	0.917	neutral	8time1
462	0.331	past	8time1
1813	0.888	neutral	8time1
169	0.915	neutral	8time1
336	0.348	past	8time1
1987	0.367	future	8time1
1783	0.888	neutral	8time1
1339	0.331	past	8time1
86	0.414	present	8time1
1247	0.934	neutral	8time1
1973	0.367	future	8time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
697	0.859	neutral	1time2
838	0.611	present	1time2
30	0.461	future	1time2
1050	0.876	neutral	1time2
68	0.871	neutral	1time2
1198	0.87	neutral	1time2
271	0.868	neutral	1time2
450	0.853	neutral	1time2
2	0.461	future	1time2
870	0.61	present	1time2
1134	0.626	present	1time2
421	0.365	past	1time2
1164	0.865	neutral	1time2
1069	0.391	past	1time2
79	0.872	neutral	1time2
1542	0.383	past	1time2
333	0.627	present	1time2
1974	0.461	future	1time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
928	0.44	future	2time2
1488	0.442	past	2time2
1394	0.44	future	2time2
1341	0.934	neutral	2time2
258	0.636	present	2time2
935	0.44	future	2time2
1997	0.897	neutral	2time2
1225	0.899	neutral	2time2
1885	0.636	present	2time2
870	0.442	past	2time2
756	0.918	neutral	2time2
