Word_Offset	Word	POS	Sense_no	Gloss	Class	Prediction_Value	EndMarker(##)
9085	10वाँ	ADJECTIVE	1	गणना में दस के स्थान पर आने वाला 	future	0.995	##
12964	11वाँ	ADJECTIVE	1	गणना में ग्यारह के स्थान पर आने वाला 	future	0.994	##
13723	12वाँ	ADJECTIVE	1	गणना में बारह के स्थान पर आने वाला 	future	0.995	##
13725	13वाँ	ADJECTIVE	1	गणना में तेरह के स्थान पर आने वाला 	future	0.995	##
13726	14वाँ	ADJECTIVE	1	गणना में चौदह के स्थान पर आने वाला 	future	0.995	##
13728	15वाँ	ADJECTIVE	1	गणना में पन्द्रह के स्थान पर आने वाला 	future	0.994	##
10274	16वाँ	ADJECTIVE	1	गणना में सोलह के स्थान पर आने वाला 	future	0.994	##
13730	17वाँ	ADJECTIVE	1	गणना में सत्रह के स्थान पर आने वाला 	future	0.994	##
13733	18वाँ	ADJECTIVE	1	गणना में अठारह के स्थान पर आने वाला 	future	0.994	##
13734	19वाँ	ADJECTIVE	1	गणना में उन्नीस के स्थान पर आने वाला 	future	0.996	##
6963	1ला	ADJECTIVE	1	गिनती में सबसे पहले आने वाला 	future	0.989	##
6963	1ला	ADJECTIVE	2	समय या क्रम की दृष्टि से पहले का या जो वर्तमान में न हो 	present	0.698	##
5428	20वाँ	ADJECTIVE	1	गणना में बीस के स्थान पर आने वाला 	future	0.995	##
5428	20वां	ADJECTIVE	1	गणना में बीस के स्थान पर आने वाला 	future	0.995	##
3873	22वाँ	ADJECTIVE	1	गणना में बाईस के स्थान पर आने वाला 	future	0.995	##
3873	22वां	ADJECTIVE	1	गणना में बाईस के स्थान पर आने वाला 	future	0.995	##
13743	24वाँ	ADJECTIVE	1	गणना में चौबीस के स्थान पर आने वाला 	future	0.995	##
13743	24वां	ADJECTIVE	1	गणना में चौबीस के स्थान पर आने वाला 	future	0.995	##
9179	2रा	ADJECTIVE	1	गणना में दो के स्थान पर आने वाला 	future	0.995	##
8736	4था	ADJECTIVE	1	गणना में चार के स्थान पर आने वाला 	future	0.995	##
15690	51वाँ	ADJECTIVE	1	गणना में इक्कावन के स्थान पर आने वाला 	future	0.994	##
15690	51वां	ADJECTIVE	1	गणना में इक्कावन के स्थान पर आने वाला 	future	0.994	##
13709	5वाँ	ADJECTIVE	1	गणना में पाँच के स्थान पर आने वाला 	future	0.995	##
15703	60वाँ	ADJECTIVE	1	गणना में साठ के स्थान पर आने वाला 	future	0.995	##
15703	60वां	ADJECTIVE	1	गणना में साठ के स्थान पर आने वाला 	future	0.995	##
15724	65वाँ	ADJECTIVE	1	गणना में पैंसठ के स्थान पर आने वाला 	future	0.995	##
15724	65वां	ADJECTIVE	1	गणना में पैंसठ के स्थान पर आने वाला 	future	0.995	##
13713	6वाँ	ADJECTIVE	1	गणना में छः के स्थान पर आने वाला 	future	0.995	##
15733	70वाँ	ADJECTIVE	1	गणना में सत्तर के स्थान पर आने वाला 	future	0.995	##
15733	70वां	ADJECTIVE	1	गणना में सत्तर के स्थान पर आने वाला 	future	0.995	##
15744	75वाँ	ADJECTIVE	1	+गणना में पचहत्तर के स्थान पर आने वाला 	future	0.996	##
15744	75वां	ADJECTIVE	1	+गणना में पचहत्तर के स्थान पर आने वाला 	future	0.996	##
13715	7वाँ	ADJECTIVE	1	गणना में सात के स्थान पर आने वाला 	future	0.995	##
13717	8वाँ	ADJECTIVE	1	गणना में आठ के स्थान पर आने वाला 	future	0.996	##
15786	90वाँ	ADJECTIVE	1	गणना में नब्बे के स्थान पर आने वाला 	future	0.995	##
15786	90वां	ADJECTIVE	1	गणना में नब्बे के स्थान पर आने वाला 	future	0.995	##
3577	अँकुराया	ADJECTIVE	1	अंकुर के रूप में निकला या आया हुआ 	future	0.985	##
3577	अँखुआया	ADJECTIVE	1	अंकुर के रूप में निकला या आया हुआ 	future	0.985	##
3467	अँडुआ	ADJECTIVE	1	जो बधिया न किया गया हो 	present	0.999	##
2175	अँधियार	ADJECTIVE	1	अंधकार से भरा हुआ 	neutral	0.989	##
2175	अँधियारा	ADJECTIVE	1	अंधकार से भरा हुआ 	neutral	0.989	##
2175	अँधेरा	ADJECTIVE	1	अंधकार से भरा हुआ 	neutral	0.989	##
2175	अँधेरिया	ADJECTIVE	1	अंधकार से भरा हुआ 	neutral	0.989	##
2175	अँला	ADJECTIVE	1	अंधकार से भरा हुआ 	neutral	0.989	##
14146	अंकशायी	ADJECTIVE	1	बगल में सोने वाला या साथ में सोने वाला 	future	0.984	##
1946	अंकित	ADJECTIVE	1	लिपि के रूप में लाया हुआ या लिखा हुआ 	future	0.979	##
1946	अंकित	ADJECTIVE	3	चित्र में खींचा हुआ 	future	0.802	##
3577	अंकुराया	ADJECTIVE	1	अंकुर के रूप में निकला या आया हुआ 	future	0.985	##
3577	अंकुरित	ADJECTIVE	1	अंकुर के रूप में निकला या आया हुआ 	future	0.985	##
3577	अंखुआया	ADJECTIVE	1	अंकुर के रूप में निकला या आया हुआ 	future	0.985	##
4336	अंगज	ADJECTIVE	1	जो अंग से उत्पन्न हुआ हो 	present	0.995	##
13645	अंगड़-खंगड़	ADJECTIVE	1	टूटा-फूटा हुआ 	neutral	0.988	##
266	अंगूरी	ADJECTIVE	1	अंगूर का बना हुआ 	neutral	0.993	##
20939	अंजहा	ADJECTIVE	1	अन्न के मेल से बना हुआ 	neutral	0.862	##
211	अंजित	ADJECTIVE	2	अंजन लगाया हुआ 	neutral	0.979	##
2041	अंट-संट	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
2041	अंटसंट	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
15825	अंठानबेवाँ	ADJECTIVE	1	गणना में अट्ठानबे के स्थान पर आने वाला 	future	0.994	##
15825	अंठानवेवाँ	ADJECTIVE	1	गणना में अट्ठानबे के स्थान पर आने वाला 	future	0.994	##
2041	अंड-बंड	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
3467	अंडकोशयुक्त	ADJECTIVE	1	जो बधिया न किया गया हो 	present	0.999	##
2041	अंडबंड	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
5908	अंतःसार	ADJECTIVE	1	मजबूत शरीर वाला 	neutral	0.993	##
2104	अंतरराष्ट्रीय	ADJECTIVE	1	सब या कुछ राष्ट्रों से संबंध रखने वाला 	neutral	0.974	##
11692	अंतरिक्षसत्	ADJECTIVE	1	आकाश में चलने या विचरण करने वाला 	future	0.944	##
2098	अंतरित	ADJECTIVE	2	जो छिपा हुआ हो 	present	0.996	##
2098	अंतरित	ADJECTIVE	4	एक हाथ से दूसरे हाथ में गया हुआ या हस्तांतरण किया हुआ 	present	0.884	##
10413	अंतरिम	ADJECTIVE	1	दो अलग कालों या समय के बीच का 	neutral	0.951	##
10810	अंतर्गत	ADJECTIVE	1	किसी के अंदर छिपा,समाया, मिला या गया हुआ 	present	0.616	##
28168	अंतर्जातीय	ADJECTIVE	1	जिसमें विभिन्न जातियों का समावेश हो या विभिन्न जातियों से बना 	present	0.734	##
10810	अंतर्भावित	ADJECTIVE	1	किसी के अंदर छिपा,समाया, मिला या गया हुआ 	present	0.616	##
10810	अंतर्भूत	ADJECTIVE	1	किसी के अंदर छिपा,समाया, मिला या गया हुआ 	present	0.616	##
2779	अंतर्मना	ADJECTIVE	3	अपने ही विचारों में डूबा रहने वाला 	future	0.938	##
